STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00440766,37.2039,-80.4144,641,1/1/2000,,,0,0,0,56,25,33
USC00440766,37.2039,-80.4144,641,1/2/2000,,,0,0,0,59,33,36
USC00440766,37.2039,-80.4144,641,1/3/2000,,,0,0,0,63,34,41
USC00440766,37.2039,-80.4144,641,1/4/2000,,,0,0,0,66,38,58
USC00440766,37.2039,-80.4144,641,1/5/2000,,,0.03,0,0,60,26,26
USC00440766,37.2039,-80.4144,641,1/6/2000,,,0,0,0,35,14,14
USC00440766,37.2039,-80.4144,641,1/7/2000,,,0,0,0,47,14,22
USC00440766,37.2039,-80.4144,641,1/8/2000,,,0,0,0,45,16,17
USC00440766,37.2039,-80.4144,641,1/9/2000,,,0,0,0,45,17,32
USC00440766,37.2039,-80.4144,641,1/10/2000,,,0.28,0,0,41,32,39
USC00440766,37.2039,-80.4144,641,1/11/2000,,,0.5,0,0,56,34,46
USC00440766,37.2039,-80.4144,641,1/12/2000,,,0,0,0,52,29,30
USC00440766,37.2039,-80.4144,641,1/13/2000,,,0,0,0,59,28,54
USC00440766,37.2039,-80.4144,641,1/14/2000,,,0,0,0,58,16,17
USC00440766,37.2039,-80.4144,641,1/15/2000,,,0,0,0,29,12,12
USC00440766,37.2039,-80.4144,641,1/16/2000,,,0,0,0,46,12,45
USC00440766,37.2039,-80.4144,641,1/17/2000,,,0,0,0,49,19,19
USC00440766,37.2039,-80.4144,641,1/18/2000,,,0.17,2.2,2,33,19,20
USC00440766,37.2039,-80.4144,641,1/19/2000,,,0,0,2,31,20,25
USC00440766,37.2039,-80.4144,641,1/20/2000,,,0.33,4.7,5,33,25,30
USC00440766,37.2039,-80.4144,641,1/21/2000,,,0.17,2,6,32,11,11
USC00440766,37.2039,-80.4144,641,1/22/2000,,,0,0,3,19,11,12
USC00440766,37.2039,-80.4144,641,1/23/2000,,,0.15,1.5,5,24,12,21
USC00440766,37.2039,-80.4144,641,1/24/2000,,,0,0,3,32,17,19
USC00440766,37.2039,-80.4144,641,1/25/2000,,,0,0,2,39,19,20
USC00440766,37.2039,-80.4144,641,1/26/2000,,,0,0,1,26,15,15
USC00440766,37.2039,-80.4144,641,1/27/2000,,,0.07,0.7,1,23,8,8
USC00440766,37.2039,-80.4144,641,1/28/2000,,,0,0,1,33,6,3
USC00440766,37.2039,-80.4144,641,1/29/2000,,,0,0,1,33,3,5
USC00440766,37.2039,-80.4144,641,1/30/2000,,,0.47,4.8,5,36,5,23
USC00440766,37.2039,-80.4144,641,1/31/2000,,,0.23,2.3,6,32,21,21
USC00440766,37.2039,-80.4144,641,2/1/2000,,,0,0.1,6,29,19,24
USC00440766,37.2039,-80.4144,641,2/2/2000,,,0,0.1,5,29,22,22
USC00440766,37.2039,-80.4144,641,2/3/2000,,,0,0,3,33,12,20
USC00440766,37.2039,-80.4144,641,2/4/2000,,,0,0,3,43,20,32
USC00440766,37.2039,-80.4144,641,2/5/2000,,,0.01,0.1,3,35,25,26
USC00440766,37.2039,-80.4144,641,2/6/2000,,,0,0,3,32,22,23
USC00440766,37.2039,-80.4144,641,2/7/2000,,,0,0,3,40,22,28
USC00440766,37.2039,-80.4144,641,2/8/2000,,,0,0,2,47,17,19
USC00440766,37.2039,-80.4144,641,2/9/2000,,,0,0,1,45,15,16
USC00440766,37.2039,-80.4144,641,2/10/2000,,,0,0,1,54,16,25
